loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,isDefaultearly_return_amount_3mon
1044956,244956,27272.7,5,17.86,632.94,D,政府机构,公共服务、社会组织,9 years,0,1,2015/5/1,2,453,14,29.87,0,695,810.833,37,0,0,28940,46.1538,1,0,Feb-94,5,1,26,Optional Null,24,32,14,0,0,0
1033615,233615,6340.91,3,12.141,262.97,C,政府机构,农、林、牧、渔业,Optional Null,0,1,2017/1/1,0,271,35,25.9,0,640.909,747.727,12,0,0,13751.1,31.0154,0,0,Nov-66,0,1,6,0,4,14,7,0,0,0
1008021,208021,9272.73,5,17.091,264.54,E,政府机构,文化和体育业,8 years,0,1,2014/6/1,0,249,36,17.0591,9,720,840,14,0,0,1375.38,106.938,1,0,4-Jun,0,1,1,0,26,11,8,4,264,1
1032438,232438,13909.1,3,6.03,517.41,A,普通企业,金融业,1 year,0,0,2014/7/1,4,47,17,14.0182,0,840,980,8,0,0,15457,37.0385,0,0,Aug-99,4,1,3,0,6,5,5,2,2346,1
1012104,212104,10000,3,18.18,372.66,E,普通企业,信息传输、软件和信息技术服务业,10+ years,1,0,2014/7/1,0,230,2,22.6909,0,670,837.5,6,0,0,5595.69,57.1,0,0,3-Jun,0,1,2,0,6,4,3,3,2741,0
1043678,243678,11454.5,5,12.62,236.87,C,政府机构,房地产业,10+ years,0,0,2017/8/1,2,0,0,27.1818,2,745,869.167,16,0,0,9430.15,32.1,0,0,Feb-89,5,1,7,0,6,22,10,0,4950,1
1037197,237197,5665.91,3,15.8,242.78,C,政府机构,电力、热力生产供应业,6 years,1,0,2012/10/1,0,5,4,23.0182,0,675,731.25,11,0,0,24039.7,91.1077,1,0,2-Jan,299,1,8,0,8,14,11,1,2490,1
1018532,218532,19000,3,7.689,586.58,A,世界五百强,建筑业,Optional Null,1,0,2017/1/1,0,157,8,9.10909,0,658.636,823.295,17,0,0,5945.54,5.81538,1,0,Mar-88,0,1,3,0,5,22,11,0,0,0
1040199,240199,18081.8,5,17.919,405.64,D,世界五百强,采矿业,Optional Null,1,1,2014/10/1,0,523,13,8.44545,0,600,750,4,2,0,8680,80.1231,0,0,Feb-94,0,1,2,0,5,5,2,4,2526,1
1031902,231902,5672.73,5,10.026,104.7,B,政府机构,金融业,Optional Null,1,1,2012/8/1,5,427,21,20.7,0,597.273,696.818,11,0,0,18669.2,43.0769,1,0,Aug-78,63,1,7,0,2,13,7,1,1902,0
1011874,211874,5454.55,3,10.323,197.78,B,普通企业,住宿和餐饮业,10+ years,1,1,2016/5/1,0,521,24,13.94,0,747.273,871.818,10,1,0,3768,53.7,0,0,4-Jul,2,1,6,0,25,10,4,0,0,0
1045994,245994,1963.64,3,9.531,78.11,B,普通企业,信息传输、软件和信息技术服务业,< 1 year,1,1,2011/8/1,3,111,8,0.63,0,621.818,777.273,3,0,0,187.385,8.7,1,0,8-Feb,5132,1,Optional Null,Optional Null,Optional Null,Optional Null,Optional Null,2,419,1
1022309,222309,20000,5,20.99,540.96,E,政府机构,建筑业,9 years,0,1,2014/10/1,0,727,43,35.28,2,618.182,772.727,8,0,0,551.538,19.9,0,0,2-Dec,0,1,1,0,20,4,1,3,7851,0
1046268,246268,19090.9,3,7.35,651.79,A,普通企业,公共服务、社会组织,10+ years,0,0,2017/7/1,0,64,14,13.09,0,580.909,629.318,8,0,0,4760.77,18.9231,0,0,9-Nov,0,1,2,0,5,6,5,0,0,0
1033051,233051,14181.8,3,14.09,444.88,B,普通企业,公共服务、社会组织,5 years,0,0,2013/4/1,0,453,14,14.7909,0,568.636,710.795,8,0,0,15947.1,76.1,1,0,Dec-91,2959,1,3,0,5,7,4,3,619,1
1022852,222852,9981.82,3,14.839,413.96,C,普通企业,制造业,10+ years,0,1,2017/5/1,0,161,14,28.2545,0,604.545,654.924,9,0,0,20225.7,64.4,0,0,2-Aug,0,1,4,0,15,16,4,1,3947,0
1014543,214543,6440.91,3,15.291,194.29,D,上市企业,信息传输、软件和信息技术服务业,10+ years,1,0,2014/10/1,4,439,0,18.1364,0,552.273,644.318,6,0,0,7978.92,94.9846,0,0,3-Aug,4,1,5,0,1,6,4,3,2334,1
1021232,221232,17454.5,3,13.33,541.65,C,普通企业,制造业,10+ years,1,1,2015/5/1,0,208,28,20.3236,0,636.364,689.394,6,0,0,8110.38,90.1385,1,0,9-Feb,0,1,2,0,13,2,1,3,61,1
1005004,205004,41363.6,5,22.35,973.64,E,高等教育机构,电力、热力生产供应业,< 1 year,0,1,2016/6/1,0,181,42,24.1745,0,665,775.833,15,0,0,23125.8,72.2,0,0,5-Mar,0,1,6,0,27,15,5,0,0,0
1009595,209595,27272.7,3,15.31,870.39,D,上市企业,金融业,< 1 year,0,0,2010/1/1,2,129,30,13.3818,0,695,752.917,14,0,0,28813,48.3538,1,0,Sep-98,16667,1,Optional Null,Optional Null,Optional Null,Optional Null,Optional Null,0,0,0
1015775,215775,9818.18,3,13.519,400.24,C,上市企业,公共服务、社会组织,2 years,1,1,2015/6/1,0,191,5,32.9018,0,705,763.75,17,0,0,2973.46,32.6,0,0,4-Jul,0,1,4,0,35,5,2,1,3217,1
1045933,245933,39738.6,3,15.488,1150.53,C,世界五百强,建筑业,3 years,0,1,2017/8/1,0,455,13,7.02727,0,725.455,906.818,11,0,0,15001.8,100.585,0,0,Nov-93,0,1,7,0,10,9,5,0,0,0
1040181,240181,25675,5,18.997,543.09,C,幼教与中小学校,电力、热力生产供应业,Optional Null,0,1,2012/9/1,0,123,12,12.61,0,580.909,629.318,11,0,0,15626.2,88.7385,1,0,Jun-00,2001,1,10,0,7,16,14,3,2276,1
1037134,237134,10000,3,7.579,308.27,A,普通企业,文化和体育业,10+ years,0,0,2015/7/1,0,31,2,18.12,1,564.545,658.636,20,0,0,45484.6,76.1538,0,0,Jul-96,0,1,6,0,21,17,7,3,2179,1
1037802,237802,41363.6,5,16.074,886.11,D,普通企业,公共服务、社会组织,7 years,1,1,2015/10/1,0,51,13,16.1,1,774.545,839.091,21,0,0,34016,48.6,0,0,2-Apr,0,1,10,0,6,29,15,3,2985,1
1049777,249777,20000,3,13.98,683.36,C,普通企业,国际组织,10+ years,1,1,2013/12/1,4,89,3,14.6364,2,725.455,785.909,23,0,0,30879.7,53.7692,1,0,1-Apr,4,1,18,0,4,42,31,1,3541,1
1032472,232472,8181.82,3,12.089,327.34,B,普通企业,批发和零售业,5 years,1,1,2015/11/1,0,408,14,9.87,0,660,770,3,0,0,4158,101.192,0,0,4-Dec,0,1,2,0,7,6,4,3,4181,1
1019910,219910,16363.6,3,6.62,460.56,A,普通企业,金融业,6 years,0,0,2012/12/1,2,16,5,1.78,0,770,834.167,5,0,0,155.769,3.46154,1,0,Nov-90,664,1,1,0,6,5,5,0,0,0
1033424,233424,17000,5,20.339,479.86,E,普通企业,国际组织,10+ years,0,1,2015/12/1,0,495,14,21.62,0,685,799.167,3,0,0,3330.92,71.9,0,0,1-Mar,0,1,1,0,14,2,2,0,0,0
1045839,245839,13000,3,7.11,344.2,A,普通企业,电力、热力生产供应业,7 years,0,1,2014/1/1,4,460,27,18.6545,0,627.273,784.091,10,0,0,15220.2,38.1231,1,0,May-96,4,1,4,0,7,5,4,2,2663,1
1023954,223954,27000,3,10.49,1072.43,B,上市企业,金融业,10+ years,0,1,2017/4/1,0,4,3,16.68,0,780,845,15,0,0,17170.5,25.5231,1,0,1-Apr,0,1,5,0,4,17,8,1,5966,0
1013058,213058,11454.5,3,12.49,468.29,B,政府机构,住宿和餐饮业,5 years,1,1,2014/6/1,4,109,21,20.9373,0,636.364,689.394,8,0,0,15399.7,102.631,0,0,1-May,4,1,6,0,3,14,12,0,0,0
1008942,208942,8181.82,3,10.923,290.11,B,上市企业,建筑业,10+ years,0,1,2017/9/1,0,184,26,24.4582,0,730.909,913.636,18,1,1,9757.85,48.0308,0,0,1-Aug,0,1,4,0,11,16,8,2,217,0
1030279,230279,13090.9,3,13.53,407.4,B,政府机构,电力、热力生产供应业,< 1 year,0,1,2014/2/1,0,167,8,13.6145,0,685,799.167,9,1,1,11248.6,62.4615,1,0,Oct-91,0,1,8,Optional Null,6,27,14,1,2535,1
1007153,207153,11904.5,5,20.817,411.26,F,普通企业,公共服务、社会组织,Optional Null,1,1,2016/1/1,0,774,7,26.19,0,680,736.667,8,0,0,7308.92,69.6923,0,0,Dec-00,0,1,6,0,5,8,5,0,0,0
1038312,238312,16363.6,5,14.193,483.93,D,上市企业,文化和体育业,4 years,0,0,2016/1/1,0,526,20,16.1782,0,720,780,6,0,0,21223,103.385,1,0,5-Nov,0,1,4,0,12,7,3,0,0,0
1017768,217768,10022.7,3,10.341,363.51,B,普通企业,公共服务、社会组织,Optional Null,1,1,2016/9/1,4,480,8,20.7,0,685,799.167,3,0,0,15476.5,75.8,1,0,8-Jan,4,1,2,0,1,3,1,0,0,0
1006446,206446,32672.7,5,10.908,668.04,B,上市企业,住宿和餐饮业,2 years,0,1,2013/7/1,0,4,3,11.42,0,801.818,1002.27,11,0,0,20884,37.8462,1,0,Aug-00,0,1,4,0,4,26,18,5,2173,1
1026701,226701,5909.09,3,14.895,177.15,D,普通企业,金融业,10+ years,1,0,2015/6/1,3,244,14,32.0727,0,769.091,897.273,6,0,0,8028.46,98.8846,1,0,5-Jul,3,1,2,0,8,15,7,3,291,1
1008094,208094,8181.82,3,15.984,360.33,D,政府机构,采矿业,4 years,1,0,2013/9/1,4,196,14,17.6318,0,609.091,659.848,10,0,0,12067.4,90.3462,0,0,Oct-86,24054,1,7,0,6,9,5,0,0,0
1009185,209185,29754.5,3,9.44,872.94,B,幼教与中小学校,制造业,2 years,1,0,2017/5/1,0,225,18,18.0491,0,812.727,1015.91,20,0,0,13416.9,18.6,1,0,6-Feb,0,1,7,0,5,25,13,3,7936,1
1000302,200302,26181.8,3,17.149,838.92,D,普通企业,电力、热力生产供应业,Optional Null,0,1,2015/1/1,4,456,21,9.67091,4,552.273,690.341,7,0,0,19077,99.1154,1,0,Mar-89,4,1,5,0,12,36,26,0,0,0
1041325,241325,27272.7,3,7.551,787.92,A,世界五百强,公共服务、社会组织,10+ years,0,1,2014/10/1,4,107,30,6.20182,0,645.455,753.03,4,0,0,18058.9,72.6923,0,0,Jan-77,4,1,4,0,2,6,4,3,9158,0
1011468,211468,21272.7,3,12.584,593.06,B,世界五百强,金融业,4 years,0,1,2017/3/1,0,145,8,16.5364,1,548.182,639.545,9,0,0,9474.23,63.6923,0,0,4-Dec,0,1,5,0,9,8,4,2,8839,1
1002690,202690,6000,3,8.253,191.28,B,上市企业,公共服务、社会组织,10+ years,0,0,2015/2/1,0,266,31,15.9455,0,556.364,695.455,9,0,0,3170,41.7,1,0,3-Mar,0,1,2,0,10,11,6,3,1656,1
1048524,248524,14727.3,5,13.739,303.66,B,普通企业,房地产业,10+ years,1,0,2014/7/1,0,53,19,18.5345,1,636.364,689.394,13,0,0,19386,35.2154,1,0,Oct-97,0,1,6,0,17,21,12,3,191,1
1045745,245745,27181.8,3,14.49,791.58,C,高等教育机构,公共服务、社会组织,4 years,1,1,2014/8/1,0,221,8,11.5036,0,613.636,715.909,17,0,0,20442.5,28.1538,1,0,4-Aug,0,1,7,0,2,14,14,3,2011,1
1013037,213037,11200,5,22.55,299.86,E,普通企业,金融业,10+ years,0,1,2016/1/1,2,355,18,17.61,1,660,715,8,0,0,12139.6,74.1,0,0,Nov-97,5,1,4,0,16,11,8,5,4376,1
1045434,245434,20090.9,3,12.089,556.48,B,普通企业,批发和零售业,8 years,1,1,2013/12/1,0,184,26,24.66,0,556.364,602.727,17,0,0,21871.2,61.1538,0,0,4-Aug,23511,1,12,0,25,20,8,0,1364,1
1016995,216995,4727.27,3,9.819,130.79,B,幼教与中小学校,公共服务、社会组织,10+ years,1,1,2017/10/1,0,708,13,6.75,0,736.364,797.727,9,0,0,4991.54,52.1,0,0,2-Nov,0,1,7,0,6,11,7,0,0,0
1033364,233364,13590.9,5,23.628,314.23,E,上市企业,金融业,10+ years,1,1,2012/5/1,0,476,5,24.8727,0,600,650,15,0,0,4069.69,36,1,0,Aug-93,106,1,Optional Null,Optional Null,Optional Null,Optional Null,Optional Null,3,2309,1
1025643,225643,9272.73,3,12.303,289.15,B,普通企业,公共服务、社会组织,6 years,1,1,2013/12/1,0,99,8,14.8091,0,675,731.25,10,1,1,5984.31,71.8846,0,0,Dec-00,858,1,8,0,8,16,12,0,0,0
1047501,247501,15200,5,11.061,340.35,C,世界五百强,批发和零售业,2 years,1,0,2015/10/1,0,591,40,33.8073,0,585,731.25,13,0,0,15249.2,58.8923,1,0,Feb-00,0,1,4,0,15,15,6,0,0,0
1001425,201425,18327.3,5,23.639,459.14,D,普通企业,电力、热力生产供应业,2 years,1,1,2016/11/1,0,301,21,23.9809,0,665,831.25,32,1,0,13337.3,68.7692,0,0,3-Mar,0,1,5,0,39,20,10,0,5063,0
1036719,236719,7250,3,10.75,236.5,B,政府机构,文化和体育业,Optional Null,1,0,2016/3/1,4,396,7,28.94,0,640.909,801.136,20,0,0,8052.15,19.9231,1,0,Sep-92,4,1,10,0,4,22,10,3,2649,0
1048391,248391,8068.18,3,8.426,276.73,A,普通企业,批发和零售业,8 years,0,0,2011/3/1,0,533,15,26.4273,0,740,801.667,15,0,0,12525,25.2,1,0,Mar-98,1379,1,Optional Null,Optional Null,Optional Null,Optional Null,Optional Null,3,349,1
1008452,208452,10000,3,7.11,312.91,A,幼教与中小学校,农、林、牧、渔业,2 years,1,0,2013/12/1,4,463,48,19.4909,0,580.909,677.727,9,0,0,8271.85,44.0769,1,0,9-Sep,4,1,3,0,5,13,1,2,2607,1
1047328,247328,16363.6,5,19.327,503.21,D,普通企业,采矿业,< 1 year,1,1,2014/9/1,0,741,13,16.4545,0,730.909,913.636,17,0,0,35824.6,77.5385,0,0,3-Jul,0,1,9,0,13,15,5,0,0,0
1020236,220236,17454.5,5,15.22,382.49,C,政府机构,信息传输、软件和信息技术服务业,10+ years,0,1,2013/7/1,5,200,22,17.2182,0,700,758.333,13,0,0,1486.15,12,1,0,9-May,36926,1,2,0,5,15,8,1,554,1
1030282,230282,28000,3,12.897,961.47,C,普通企业,电力、热力生产供应业,4 years,0,1,2013/5/1,0,197,4,7.33091,0,556.364,602.727,7,0,0,15742.2,82.4,1,0,May-95,70,1,5,0,5,8,4,3,10347,1
1042634,242634,13000,3,7.551,409.72,A,世界五百强,信息传输、软件和信息技术服务业,1 year,1,0,2014/7/1,0,79,2,5.80091,1,618.182,772.727,3,0,0,11853.2,66.4615,0,0,8-Sep,0,1,3,0,7,4,4,0,0,0
1047958,247958,2272.73,3,7.777,77.28,A,政府机构,电力、热力生产供应业,10+ years,1,0,2017/5/1,4,499,13,19.4273,0,878.182,1097.73,17,0,0,5464.62,9.23077,0,0,Nov-00,4,1,7,0,1,31,19,0,0,0
1036398,236398,5200,3,17.99,159.05,D,政府机构,金融业,1 year,0,1,2016/6/1,0,113,22,16.6727,0,618.182,669.697,13,0,0,31446.9,50.3,0,0,Aug-96,0,1,8,0,8,15,6,3,2139,1
1013718,213718,35000,5,19.332,956.35,E,普通企业,采矿业,10+ years,0,1,2012/3/1,0,331,8,19.33,0,564.545,705.682,13,0,0,16446.5,69.0308,1,0,Oct-96,0,1,Optional Null,Optional Null,Optional Null,Optional Null,Optional Null,5,15535,1
