loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,isDefault,guess
1013194,213194,17954.5,5,19.935,547.16,E,普通企业,金融业,10+ years,0,1,2014/10/1,0,790,41,29.1164,0,747.273,934.091,11,0,0,36766.2,74.3077,0,0,Feb-95,0,1,8,0,3,19,9,0,3066,306.6,0,0
1011185,211185,9454.55,3,14.895,283.44,D,普通企业,建筑业,5 years,1,1,2015/12/1,0,72,10,13.0336,0,725.455,785.909,8,3,0,5286.92,58,1,0,Apr-99,0,1,3,0,27,13,9,3,793,0,0,0
1032022,232022,21850,3,15.61,763.99,C,政府机构,房地产业,7 years,1,1,2013/12/1,4,157,8,24.1545,0,640.909,694.318,7,0,0,22408,102.231,1,0,May-96,22093,1,5,0,1,9,5,3,5673,1701.9,0,0
1015820,215820,10000,3,7.139,306.45,A,政府机构,电力、热力生产供应业,10+ years,0,0,2015/1/1,4,62,13,12.2091,2,548.182,685.227,12,0,0,17353.8,90.4,0,0,Jul-97,4,1,5,0,10,17,12,3,278,55.6,0,0
1019641,219641,21818.2,5,16.59,591.19,D,世界五百强,信息传输、软件和信息技术服务业,1 year,0,1,2014/2/1,4,268,8,22.4182,0,700,816.667,15,0,0,26250,72.3,0,0,May-95,4,1,11,0,7,16,4,0,0,0,1,0
1020190,220190,4000,3,8.496,128.02,B,普通企业,电力、热力生产供应业,10+ years,0,0,2017/5/1,0,448,24,3.96,0,540,630,9,0,0,3944.77,18.1846,0,0,Apr-00,0,1,4,0,3,11,6,0,0,0,0,0
1042633,242633,22727.3,3,12.141,848.27,C,政府机构,采矿业,6 years,0,0,2016/9/1,0,502,7,18.0655,1,548.182,639.545,21,0,0,30825,78.6923,1,0,1-May,0,1,13,0,13,20,7,3,3991,1197.3,0,0
1048806,248806,12000,3,13.11,404.97,B,政府机构,电力、热力生产供应业,5 years,1,0,2013/1/1,0,655,8,32.2691,0,747.273,871.818,12,0,0,16150.2,95.1923,1,0,4-Feb,0,1,10,0,4,20,16,3,4879,487.9,0,0
1018968,218968,4581.82,3,13.519,140.09,C,普通企业,公共服务、社会组织,10+ years,1,1,2015/9/1,3,590,8,8.42727,0,680,736.667,9,0,0,4276,48.3462,1,0,May-94,3,1,5,0,5,16,7,2,691,69.1,0,0
1011869,211869,7090.91,3,6.489,185.84,A,普通企业,信息传输、软件和信息技术服务业,1 year,0,0,2017/8/1,0,8,6,9.94,0,560.455,700.568,13,1,1,1396.15,5.81538,1,0,Apr-94,0,1,3,0,4,32,23,3,1167,116.7,0,0
1049512,249512,5768.18,3,15.984,254.03,D,普通企业,国际组织,10+ years,0,1,2013/10/1,0,47,17,29.16,0,730.909,913.636,8,0,0,3935.77,85.1077,0,0,Feb-99,29531,1,2,0,14,10,6,0,0,0,1,0
1015804,215804,10872.7,3,13.023,316.54,C,普通企业,采矿业,10+ years,0,1,2018/7/1,0,194,38,15.6818,0,618.182,772.727,8,3,3,9920.62,31.9,0,0,5-Feb,0,1,4,0,2,8,7,0,4580,458,0,0
1019213,219213,4909.09,3,10.791,199.26,C,政府机构,建筑业,2 years,1,1,2016/5/1,5,565,14,17.9836,0,763.636,954.545,7,0,0,10100.8,23.7,0,0,7-Aug,6,1,3,0,15,11,7,0,0,0,0,0
1002575,202575,10909.1,5,15.61,289.34,C,普通企业,批发和零售业,4 years,1,1,2014/1/1,0,134,8,22.31,1,622.727,726.515,11,0,0,13069.5,60.4,1,0,1-Apr,0,1,8,0,6,17,7,0,0,0,0,0
1045222,245222,6825,3,20.691,264.16,F,上市企业,电力、热力生产供应业,9 years,1,1,2015/1/1,1,386,19,4.44,0,660,715,5,0,0,3919.38,31.5692,1,0,3-Sep,1,1,1,0,0,8,6,0,0,0,1,0
1045391,245391,16150,3,12.837,533.87,B,政府机构,公共服务、社会组织,5 years,0,1,2014/8/1,0,149,22,14.5745,0,548.182,685.227,7,0,0,5724.92,56.6769,1,0,7-Aug,0,1,4,0,8,5,4,3,3544,708.8,0,0
1002019,202019,13090.9,3,16.416,435.28,D,幼教与中小学校,农、林、牧、渔业,7 years,0,1,2014/6/1,5,234,42,19.5727,0,730.909,852.727,18,0,0,19615,89.2,0,0,Apr-98,6,1,10,0,16,15,8,3,4926,1477.8,0,0
1034959,234959,11818.2,3,6.516,309.87,A,幼教与中小学校,房地产业,6 years,0,0,2017/2/1,4,199,24,22.7536,0,695.455,753.409,14,0,0,15120,32.4231,0,0,5-Dec,4,1,5,0,7,12,3,0,0,0,0,0
1036283,236283,38181.8,3,6.228,1079.42,A,普通企业,电力、热力生产供应业,10+ years,1,1,2015/3/1,4,481,0,7.49455,0,769.091,961.364,29,3,0,44827,37.2692,0,0,Jan-93,4,1,17,0,3,44,18,0,0,0,0,0
1010195,210195,8181.82,3,12.089,327.34,B,普通企业,采矿业,10+ years,0,1,2015/10/1,4,143,8,12.6,2,736.364,797.727,19,0,0,8772.69,27.6923,0,0,Oct-92,4,1,7,0,4,29,16,2,2108,210.8,0,0
1034066,234066,25000,3,16.555,867.25,C,普通企业,公共服务、社会组织,7 years,0,1,2017/8/1,2,129,30,6.76364,0,763.636,890.909,5,0,0,4467,25.2,0,0,Nov-95,5,1,2,0,8,5,5,0,0,0,0,0
1037208,237208,3309.09,3,17.589,98.43,D,上市企业,采矿业,5 years,1,0,2014/12/1,5,63,14,11.74,0,725.455,846.364,5,0,0,6225,77.4308,1,0,Apr-97,6,1,4,0,5,6,3,3,1384,415.2,0,0
1007566,207566,16363.6,5,18.458,371.02,C,幼教与中小学校,建筑业,9 years,0,1,2013/8/1,4,195,38,19.95,0,715,834.167,10,0,0,12807.7,75.1692,1,0,Oct-98,4,1,3,0,2,9,7,0,0,0,1,0
1024420,224420,18500,3,9.17,589.76,B,普通企业,金融业,10+ years,0,0,2015/6/1,0,173,32,12.4545,0,604.545,755.682,10,1,1,13854,60.8,1,0,4-Jul,0,1,6,0,11,20,12,1,8645,0,0,0
1008450,208450,15606.8,5,12.897,447.12,C,普通企业,建筑业,6 years,0,1,2013/6/1,4,172,13,10.1636,0,636.364,795.455,11,0,0,16286.5,73.7308,1,0,4-Jan,26,1,5,0,5,12,10,3,1823,364.6,0,0
1012503,212503,21600,5,17.091,684.69,E,政府机构,电力、热力生产供应业,1 year,1,1,2014/10/1,0,99,8,17.2636,0,670,725.833,13,1,1,7652.31,51.9077,0,0,Sep-89,0,1,9,0,10,31,19,0,0,0,1,0
1015457,215457,13090.9,3,18.25,435.34,D,政府机构,交通运输、仓储和邮政业,< 1 year,1,0,2013/8/1,4,741,13,20.34,0,685,856.25,24,0,0,8964.31,56.5385,1,0,1-Jul,4,1,5,0,40,9,4,0,0,0,0,0
1043065,243065,6934.09,3,12.705,279.68,B,普通企业,信息传输、软件和信息技术服务业,1 year,1,0,2013/9/1,0,321,1,14.6182,0,645.455,806.818,7,0,0,13038.3,50.2923,1,0,1-Dec,63,1,4,0,2,6,5,0,0,0,1,0
1008124,208124,41363.6,3,7.26,1084.87,A,高等教育机构,制造业,4 years,0,1,2015/10/1,4,74,30,21.36,0,747.273,934.091,14,0,0,62498.2,45.7,1,0,Jul-98,4,1,8,0,9,14,8,3,6962,2088.6,0,0
1005885,205885,12000,3,8.24,377.37,B,普通企业,住宿和餐饮业,5 years,1,1,2017/1/1,0,9,7,18.2273,0,763.636,954.545,37,0,0,22506.9,40.7,0,0,Aug-00,0,1,7,0,60,15,4,3,3777,755.4,1,0
1006726,206726,30000,3,7.35,931.13,A,普通企业,金融业,4 years,0,1,2017/10/1,2,499,13,13.5164,0,700,758.333,10,0,0,86359.5,76.2462,0,0,Jul-00,5,1,6,0,6,15,9,1,8622,862.2,0,0
1014516,214516,6586.36,3,10.791,267.34,C,上市企业,电力、热力生产供应业,Optional Null,0,1,2016/2/1,0,235,8,29.3673,1,665,775.833,11,0,0,16055,45.4,0,0,Nov-84,0,1,7,0,3,17,10,3,3409,0,0,0
1037298,237298,16634.1,3,15.763,483.31,C,高等教育机构,电力、热力生产供应业,2 years,0,1,2013/4/1,0,0,0,34.2764,0,730.909,913.636,22,0,0,24990,55.9,1,0,Dec-99,0,1,11,0,10,44,20,3,3857,771.4,0,0
1032796,232796,1818.18,3,6.71,61.49,A,普通企业,采矿业,< 1 year,1,1,2018/3/1,4,277,8,3.70636,0,715,774.583,3,0,0,3171.69,52.1538,0,0,7-Feb,4,1,3,0,2,4,3,0,0,0,1,0
1023533,223533,10909.1,3,12.303,408.22,C,普通企业,电力、热力生产供应业,3 years,1,1,2016/4/1,0,186,9,27.81,0,758.182,884.545,15,0,0,1761.92,7.86154,0,0,10-Feb,0,1,7,0,13,13,8,0,0,0,0,0
1001653,201653,10000,3,16.425,362.78,D,普通企业,信息传输、软件和信息技术服务业,1 year,1,1,2014/2/1,5,74,30,15.87,0,576.818,721.023,16,0,0,48329.1,67.1,1,0,Mar-79,6,1,10,0,6,26,10,0,0,0,1,0
1009810,209810,21272.7,5,13.882,406.07,C,普通企业,文化和体育业,1 year,0,1,2017/11/1,0,593,38,24.5455,0,774.545,839.091,8,0,0,2946.46,11.2,0,0,6-Mar,0,1,2,0,8,10,5,4,4655,931,0,0
1002435,202435,17727.3,5,28.358,447.16,F,高等教育机构,交通运输、仓储和邮政业,2 years,1,1,2015/9/1,6,45,21,8.23,0,785.455,981.818,3,0,0,8034.23,90.3538,1,0,Mar-00,7,1,2,0,2,3,2,2,4781,478.1,0,0
1043003,243003,5000,3,22.356,198.38,E,普通企业,金融业,2 years,1,1,2018/3/1,7,431,20,25.7727,1,600,750,10,0,0,2801.08,37.3692,1,1,8-Feb,8,1,6,0,4,11,4,0,0,0,0,0
1044055,244055,8856.82,3,6.49,331.73,A,普通企业,住宿和餐饮业,< 1 year,1,0,2016/4/1,4,160,4,23.44,0,715,893.75,9,0,0,8614,32.7385,0,0,Nov-88,4,1,4,0,15,13,13,1,174,17.4,0,0
1040454,240454,6000,3,15.389,205.04,C,世界五百强,公共服务、社会组织,6 years,0,1,2015/2/1,0,226,21,23.18,0,670,781.667,16,0,0,11694.5,65.5846,1,0,Jun-95,0,1,12,0,0,18,10,0,661,66.1,0,0
1034000,234000,24545.5,3,8.24,943.42,B,普通企业,金融业,10+ years,1,1,2017/3/1,0,65,19,21.24,1,695,868.75,27,0,0,30408,57.8308,0,0,Jan-88,0,1,14,0,28,25,12,3,14177,1417.7,0,0
1019304,219304,8181.82,3,14.16,342.56,C,世界五百强,电力、热力生产供应业,7 years,0,1,2014/3/1,0,310,24,2.71,0,720,900,5,1,1,1660.62,24,1,0,5-Dec,0,1,4,Optional Null,1,11,8,2,639,63.9,0,0
1039505,239505,13636.4,3,12.69,419.32,C,幼教与中小学校,房地产业,9 years,0,1,2015/3/1,0,574,26,15.6218,0,548.182,639.545,6,1,0,9765,90.0923,1,0,Nov-93,0,1,4,0,3,5,3,0,0,0,0,0
1011358,211358,2454.55,5,20.405,77.09,D,普通企业,公共服务、社会组织,10+ years,1,1,2013/11/1,5,53,19,6.79,0,785.455,981.818,6,0,0,1389.23,39.6923,1,0,May-98,4359,1,2,0,3,6,3,5,1299,259.8,0,0
1013546,213546,17345.5,3,8.991,512.98,B,普通企业,电力、热力生产供应业,8 years,0,1,2013/10/1,0,420,4,19.2436,0,572.727,620.455,16,0,0,37360.4,59.7692,1,0,Oct-94,0,1,5,0,5,25,13,3,6859,0,0,0
1043766,243766,11286.4,3,13.491,331.01,C,普通企业,信息传输、软件和信息技术服务业,5 years,1,1,2014/8/1,0,408,14,23.18,0,540,585,9,1,1,4335,49.2692,0,0,Aug-99,0,1,3,0,24,9,6,1,3738,373.8,0,0
1045641,245641,18500,3,9.81,604.8,B,政府机构,国际组织,5 years,1,1,2018/4/1,5,526,20,16.0936,0,585,731.25,10,0,0,3225,20.8,0,0,10-Aug,6,1,4,0,3,8,4,0,3404,0,0,0
1009512,209512,4363.64,3,15.73,137.3,C,幼教与中小学校,公共服务、社会组织,3 years,1,0,2013/9/1,5,191,5,25.93,0,668.182,723.864,11,1,1,0,0,0,0,Mar-97,24868,1,0,0,5,15,8,0,0,0,0,0
1002221,202221,18181.8,3,7.11,625.81,A,上市企业,批发和零售业,10+ years,1,1,2013/11/1,0,360,0,9.95,0,601.364,651.477,25,0,0,26442.7,19.4923,1,0,Mar-73,24183,1,10,0,13,46,20,0,0,0,0,0
1006274,206274,19636.4,5,10.16,511.83,B,上市企业,批发和零售业,< 1 year,0,1,2013/3/1,2,48,10,13.4909,1,605.455,706.364,13,0,0,4623.23,11.3077,1,0,Apr-99,306,1,5,0,5,21,11,3,10165,2033,0,0
1015145,215145,6545.45,3,11.358,201.07,C,上市企业,信息传输、软件和信息技术服务业,Optional Null,1,1,2017/11/1,6,648,13,22.59,0,720,780,11,0,0,41786.8,70,0,0,Aug-75,7,1,6,Optional Null,4,11,8,2,166,49.8,0,0
1019795,219795,28000,3,9.67,899.15,B,上市企业,公共服务、社会组织,5 years,0,1,2013/11/1,0,62,13,6.86455,0,663.636,718.939,14,0,0,25433.1,54.2308,1,0,May-96,28,1,8,0,4,19,15,0,5723,0,0,0
1039534,239534,16363.6,3,8.382,623.23,A,上市企业,住宿和餐饮业,10+ years,0,1,2013/11/1,4,359,43,25.2818,0,812.727,948.182,14,0,0,26658,64.6154,0,0,May-80,4,1,4,0,20,21,17,3,8139,0,0,0
1004914,204914,18181.8,3,14.839,678.61,C,政府机构,批发和零售业,10+ years,0,1,2017/4/1,0,104,23,16.3091,0,618.182,669.697,11,0,0,17480.8,58.0615,1,0,7-Apr,0,1,7,0,7,9,7,3,5350,1605,0,0
1010638,210638,25090.9,5,17.271,599.04,E,幼教与中小学校,农、林、牧、渔业,10+ years,1,1,2015/7/1,0,275,8,27.6,0,600,650,13,0,0,25217.5,96.9,0,0,Aug-98,0,1,10,0,9,23,11,0,0,0,0,0
1020834,220834,20454.5,5,14.99,594.62,C,普通企业,金融业,< 1 year,0,1,2016/11/1,0,218,0,12.0636,0,618.182,721.212,13,0,0,23326.2,71.0769,0,0,5-Nov,0,1,6,0,1,15,7,2,7468,2240.4,0,0
1019317,219317,17611.4,3,14.685,728.9,C,政府机构,信息传输、软件和信息技术服务业,10+ years,0,1,2014/7/1,1,677,13,18.7727,2,556.364,602.727,11,0,0,9137.54,68.3,1,0,Sep-77,1,1,7,0,8,20,12,1,706,141.2,0,0
1042241,242241,22727.3,5,12.087,574.35,C,普通企业,房地产业,8 years,1,1,2011/3/1,2,111,8,1.48,0,823.636,960.909,10,0,0,1212.62,6.11538,1,0,Aug-00,8882,1,Optional Null,Optional Null,Optional Null,Optional Null,Optional Null,0,0,0,1,0
1007260,207260,23636.4,3,7.12,618.64,A,政府机构,公共服务、社会组织,4 years,0,1,2014/10/1,0,48,10,5.08,0,785.455,981.818,13,0,0,11030.9,22.0769,0,0,Sep-84,0,1,6,0,5,13,8,0,0,0,1,0
1026860,226860,9818.18,5,17.149,289.21,C,政府机构,信息传输、软件和信息技术服务业,< 1 year,0,1,2016/8/1,0,335,8,10.5927,1,645.455,753.03,10,0,0,12540.9,44.9538,0,0,Oct-97,0,1,3,0,5,10,6,4,1131,339.3,0,0
1041327,241327,15272.7,3,10.087,446.31,B,普通企业,电力、热力生产供应业,10+ years,1,0,2015/5/1,4,489,30,5.5,0,725.455,906.818,5,0,0,7241.54,72.6923,0,0,1-May,4,1,4,0,4,10,10,2,4375,875,0,0
1010628,210628,13500,3,18.99,494.79,E,普通企业,采矿业,10+ years,0,0,2014/6/1,0,337,14,20.1764,0,609.091,710.606,21,0,0,19831,42.2769,0,0,Feb-95,0,1,12,0,7,28,13,3,3016,0,0,0
1023367,223367,4909.09,3,23.595,227.44,D,普通企业,公共服务、社会组织,10+ years,0,0,2017/7/1,0,424,24,16.6,0,720,780,21,0,0,52307.3,70.4308,1,0,Oct-90,0,1,14,0,3,28,12,0,0,0,1,0
1000323,200323,15363.6,3,5.852,391.5,A,政府机构,电力、热力生产供应业,10+ years,0,0,2015/9/1,2,230,2,9.97364,0,725,906.25,12,0,0,13018.8,45.5,0,0,2-Oct,5,1,6,0,4,12,4,3,3602,1080.6,0,0
1034819,234819,10636.4,3,9.17,286.92,B,普通企业,电力、热力生产供应业,10+ years,0,1,2015/11/1,4,25,13,16.3545,0,600,650,8,1,1,8148.46,33.2,0,0,Sep-98,4,1,3,0,13,20,16,0,0,0,0,0
1034758,234758,16000,5,10.07,340.51,B,普通企业,文化和体育业,10+ years,0,1,2018/5/1,2,560,44,10.9182,0,613.636,664.773,10,0,0,6685.54,10.7308,0,0,6-Aug,5,1,5,0,15,7,6,4,6599,0,0,0
1028727,228727,22090.9,3,14.498,912.08,C,政府机构,住宿和餐饮业,< 1 year,0,1,2015/12/1,1,166,8,11.3891,1,665,831.25,7,0,0,54032.3,91.5385,0,0,Oct-93,1,1,6,Optional Null,1,8,6,0,0,0,0,0
1014731,214731,9000,3,14.289,303.21,C,上市企业,金融业,10+ years,0,0,2016/3/1,0,669,24,6.58182,0,720,840,6,1,1,5641.15,97.2692,0,0,1-Feb,0,1,3,0,11,11,6,0,0,0,1,0
1023612,223612,25000,3,17.149,873.88,D,政府机构,电力、热力生产供应业,3 years,0,1,2015/1/1,0,304,8,15.1,0,572.727,668.182,13,0,0,21015,60.2,0,0,May-99,0,1,9,0,7,37,20,0,6795,679.5,0,0
1012346,212346,3927.27,3,9.891,157.13,B,幼教与中小学校,房地产业,10+ years,1,1,2016/8/1,4,111,8,23.0809,0,604.545,755.682,10,0,0,20530.4,66.9,0,0,6-Mar,4,1,7,0,12,10,7,0,0,0,0,0
1004150,204150,8745.45,3,13.67,251.74,B,普通企业,金融业,< 1 year,1,0,2012/6/1,1,17,13,20.09,0,627.273,679.545,17,0,0,23394,89.6,1,0,Oct-99,306,1,Optional Null,Optional Null,Optional Null,Optional Null,Optional Null,0,0,0,0,0
1032490,232490,9818.18,3,7.24,278.89,A,普通企业,电力、热力生产供应业,10+ years,0,0,2016/11/1,4,97,12,30.4909,1,677.273,733.712,9,0,0,10422.5,23.4462,0,0,Nov-86,4,1,2,0,31,10,8,3,301,0,0,0
1013411,213411,12400,3,13.99,423.75,C,政府机构,电力、热力生产供应业,< 1 year,1,1,2015/10/1,0,397,35,27.0982,0,720,780,5,0,0,4070.77,27.8923,1,0,12-Jun,0,1,3,0,1,4,2,3,2445,489,0,0
1042269,242269,6363.64,3,13.98,239.18,C,普通企业,制造业,10+ years,0,0,2014/6/1,0,116,14,34.5382,0,568.636,616.023,11,0,0,14642.8,27.6,0,0,1-Sep,0,1,3,0,7,6,5,0,0,0,1,0
1037327,237327,5454.55,3,15.741,205.98,C,世界五百强,信息传输、软件和信息技术服务业,2 years,1,0,2015/1/1,5,697,39,9.79636,0,730.909,791.818,7,2,2,6661.15,28.6154,1,0,2-Jun,6,1,6,Optional Null,2,20,6,1,84,0,0,0
1026982,226982,7000,3,11.421,234.82,C,普通企业,制造业,5 years,1,1,2015/7/1,5,805,14,8.62,0,640.909,694.318,5,0,0,4630,60.6923,0,0,8-Apr,6,1,4,0,0,6,4,0,0,0,0,0
1038557,238557,28186.4,3,14.355,804.18,B,普通企业,公共服务、社会组织,5 years,0,1,2013/7/1,0,337,14,13.18,0,690,805,10,0,0,13418,61,1,0,Jun-96,0,1,4,0,17,14,8,3,8446,844.6,0,0
1004068,204068,5454.55,3,11.421,201.27,C,政府机构,文化和体育业,2 years,1,1,2015/9/1,0,176,3,33.0436,0,663.636,718.939,20,0,0,2929.62,37.8462,0,0,8-Apr,0,1,3,0,23,7,4,0,0,0,1,0
1005622,205622,2400,3,14.3,82.38,C,幼教与中小学校,文化和体育业,10+ years,0,1,2013/10/1,0,91,7,24.72,0,580.909,629.318,7,0,0,2992.62,39.1,1,0,Aug-97,38,1,2,0,20,33,11,3,96,19.2,0,0
1040844,240844,33090.9,5,11.862,639.67,C,普通企业,电力、热力生产供应业,8 years,0,0,2015/12/1,0,195,38,25.47,0,725,785.417,10,0,0,30109,65.5385,0,0,Aug-95,0,1,5,0,4,10,8,2,3828,0,0,0
1038848,238848,1775,3,7.49,55.21,A,普通企业,信息传输、软件和信息技术服务业,3 years,0,0,2011/7/1,0,555,37,23.3018,0,654.545,763.636,9,1,1,3466.15,15.2308,1,0,Jul-97,70,1,Optional Null,Optional Null,Optional Null,Optional Null,Optional Null,2,699,0,0,0
1017583,217583,9818.18,5,15.31,287.44,C,普通企业,交通运输、仓储和邮政业,10+ years,1,1,2014/2/1,0,550,8,17.0455,0,604.545,654.924,15,0,0,24851.5,90.3462,1,0,Apr-99,0,1,8,0,5,23,8,0,0,0,0,0
1015551,215551,15909.1,3,20.075,634.87,E,幼教与中小学校,电力、热力生产供应业,4 years,1,1,2015/5/1,0,141,13,31.3527,0,568.636,710.795,32,0,0,20975.1,81.7,1,0,Feb-98,0,1,15,0,25,21,7,0,0,0,1,0
1030151,230151,16000,5,17.091,414.97,E,高等教育机构,信息传输、软件和信息技术服务业,2 years,1,1,2016/1/1,0,74,30,20.79,0,730.909,791.818,8,0,0,13317,87.1385,0,0,6-Dec,0,1,5,0,3,7,5,0,0,0,1,0
1024895,224895,5727.27,3,16.115,241.46,C,普通企业,电力、热力生产供应业,7 years,0,0,2015/4/1,0,4,3,13.5,1,660,715,7,1,1,5470.38,75.6923,1,0,Feb-94,0,1,5,Optional Null,4,9,4,0,0,0,1,0
1000680,200680,30109.1,5,15.906,648.81,C,世界五百强,信息传输、软件和信息技术服务业,7 years,1,0,2016/6/1,2,1,1,3.02,2,705,881.25,10,1,0,1664.31,16.9846,0,0,Jul-90,5,1,8,0,4,16,13,1,6310,1262,0,0
1039702,239702,25527.3,5,21.989,572.15,E,普通企业,公共服务、社会组织,10+ years,1,1,2015/1/1,0,62,13,26.8,0,618.182,669.697,24,0,0,40309.2,45.2308,1,0,Aug-99,0,1,15,0,15,31,23,0,0,0,1,0
1043400,243400,18909.1,3,11.99,531.36,C,政府机构,国际组织,10+ years,1,0,2016/5/1,0,190,17,40.4618,0,758.182,884.545,10,1,1,11231,34.0615,1,0,5-Jan,0,1,5,0,17,9,5,0,0,0,1,0
1011280,211280,16363.6,3,6.864,457.97,A,世界五百强,金融业,Optional Null,1,1,2015/5/1,2,220,20,19.97,0,780,845,13,0,0,9429.23,25.2,0,0,Oct-90,5,1,3,0,8,24,12,0,6634,1326.8,0,0
1026776,226776,9090.91,3,15.102,355.44,C,政府机构,房地产业,10+ years,0,0,2013/7/1,0,438,9,16.9545,1,556.364,649.091,9,0,0,10032.7,79.0385,1,0,Dec-99,1887,1,5,0,10,24,8,0,0,0,0,0
1020687,220687,17454.5,5,18.689,397.56,D,普通企业,电力、热力生产供应业,< 1 year,1,1,2014/10/1,4,29,19,22.1273,0,741.818,865.455,19,0,0,9932.46,82.8154,0,0,Aug-99,4,1,5,0,26,14,4,2,799,159.8,0,0
1004115,204115,13636.4,3,7.371,471.37,A,政府机构,农、林、牧、渔业,10+ years,0,0,2018/11/1,0,112,23,14.3545,0,801.818,1002.27,16,0,0,13219.4,10.7077,0,0,2-Jan,0,1,6,0,7,17,14,1,1873,0,0,0
1016914,216914,8272.73,3,13.99,239.21,C,政府机构,住宿和餐饮业,10+ years,0,0,2016/11/1,2,517,14,7.26545,0,613.636,715.909,18,1,1,7828,34.5,0,0,Dec-96,5,1,8,0,5,25,11,0,0,0,1,0
1030930,230930,21036.4,5,23.87,488.59,E,普通企业,电力、热力生产供应业,1 year,1,1,2013/11/1,0,370,13,23.1,0,660,770,11,2,1,16377,56.8846,1,0,Nov-79,27062,1,7,0,6,22,13,0,0,0,1,0
1007795,207795,22909.1,3,12.584,691.9,B,幼教与中小学校,农、林、牧、渔业,< 1 year,0,1,2014/11/1,0,257,24,24.41,0,621.818,777.273,14,0,0,15507,43.7308,1,0,4-Apr,0,1,3,0,9,16,6,3,4297,1289.1,0,0
1026502,226502,10800,3,9.675,322.95,B,世界五百强,批发和零售业,Optional Null,0,0,2016/2/1,0,184,26,13.1455,0,589.091,736.364,18,0,0,7228,27,0,0,Nov-84,0,1,4,0,0,35,22,0,0,0,1,0
1016819,216819,10909.1,3,8.18,377.04,B,政府机构,建筑业,10+ years,0,1,2015/9/1,2,328,3,28.1782,0,690,862.5,17,0,0,32166.6,34.0385,1,0,May-86,5,1,7,0,7,19,14,3,5195,1558.5,0,0
1045418,245418,5454.55,3,18.249,177.25,D,幼教与中小学校,国际组织,8 years,0,1,2014/4/1,9,195,38,6.80909,0,618.182,772.727,5,1,1,26,0.830769,1,0,3-Jul,10,1,1,0,3,5,4,0,0,0,0,0
